#!(s),Date,Time,TA_SP30P1_ET2,CO_SP30P1_ET2,DBS_SP30P1_ET2,DBE_SP30P1_ET2,TA_SP30P2_ET2,CO_SP30P2_ET2,DBS_SP30P2_ET2,DBE_SP30P2_ET2
1730420101,01.11.2024,0:15:01,20,345,562,529,19.8,0,562,572
1730421004,01.11.2024,0:30:04,20,345,551,540,19.8,0,540,540
1730421907,01.11.2024,0:45:07,20,345,551,594,19.8,0,562,540
1730422810,01.11.2024,1:00:10,20,345,540,594,19.8,0,540,551
1730423713,01.11.2024,1:15:13,20,345,551,540,19.8,0,562,551
1730424616,01.11.2024,1:30:16,19.9,345,551,540,19.8,0,551,562
1730425520,01.11.2024,1:45:20,19.9,345,551,540,19.7,0,551,540
1730426423,01.11.2024,2:00:23,19.9,345,562,562,19.5,0,540,583
1730427326,01.11.2024,2:15:26,19.9,337,551,490,19.7,0,551,540
1730428229,01.11.2024,2:30:29,19.9,345,562,562,19.7,0,540,540
1730429132,01.11.2024,2:45:32,19.9,345,551,583,19.6,0,562,540
1730430035,01.11.2024,3:00:35,19.9,345,551,518,19.7,0,562,562
1730430938,01.11.2024,3:15:38,19.9,353,551,623,19.7,0,562,562
1730431842,01.11.2024,3:30:42,19.9,353,551,500,19.8,0,562,562
1730432745,01.11.2024,3:45:45,19.9,353,540,583,19.8,0,562,562
1730433648,01.11.2024,4:00:48,19.9,345,551,562,19.8,0,572,562
1730434551,01.11.2024,4:15:51,19.9,353,551,551,19.9,0,562,551
1730435454,01.11.2024,4:30:54,19.9,353,551,540,19.8,0,551,551
1730436357,01.11.2024,4:45:57,19.9,353,551,518,19.9,0,551,562
1730437260,01.11.2024,5:01:00,20,353,551,551,19.8,0,551,551
1730438164,01.11.2024,5:16:04,19.9,353,562,583,19.9,0,572,540
1730439067,01.11.2024,5:31:07,20,353,551,623,19.8,0,540,562
1730439970,01.11.2024,5:46:10,19.9,353,562,601,19.9,0,540,562
1730440873,01.11.2024,6:01:13,19.9,353,551,572,19.9,0,572,562
1730441776,01.11.2024,6:16:16,19.9,353,551,518,19.8,0,540,551
1730442679,01.11.2024,6:31:19,19.9,353,562,562,19.9,0,551,562
1730443582,01.11.2024,6:46:22,19.9,353,562,518,19.8,0,562,551
1730444485,01.11.2024,7:01:25,19.9,353,551,551,19.9,0,529,562
1730445389,01.11.2024,7:16:29,19.8,353,551,572,19.9,0,551,551
1730446292,01.11.2024,7:31:32,19.8,360,551,551,19.8,0,562,551
1730447195,01.11.2024,7:46:35,19.8,353,551,583,19.8,0,562,540
1730448098,01.11.2024,8:01:38,19.8,360,562,583,19.8,0,562,551
1730449001,01.11.2024,8:16:41,20,360,551,594,19.8,0,551,562
1730449904,01.11.2024,8:31:44,19.9,360,562,612,19.8,0,551,562
1730450807,01.11.2024,8:46:47,19.8,353,562,583,19.8,0,551,562
1730451711,01.11.2024,9:01:51,19.9,360,551,551,19.8,0,540,540
1730452614,01.11.2024,9:16:54,19.9,360,562,572,19.8,0,529,551
1730453517,01.11.2024,9:31:57,19.8,360,551,594,19.8,0,551,562
1730454420,01.11.2024,9:47:00,19.9,360,551,583,19.9,0,551,551
1730455323,01.11.2024,10:02:03,19.9,360,551,540,19.9,0,562,572
1730456226,01.11.2024,10:17:06,19.9,360,562,583,19.9,0,562,572
1730457129,01.11.2024,10:32:09,20,360,562,540,19.9,0,562,562
1730458032,01.11.2024,10:47:12,20,353,562,518,20,0,551,551
1730458936,01.11.2024,11:02:16,20,353,562,583,20.2,0,551,572
1730459839,01.11.2024,11:17:19,20.1,360,551,551,20.1,0,562,551
1730460742,01.11.2024,11:32:22,20.1,353,562,562,20.2,0,551,540
1730461645,01.11.2024,11:47:25,20.2,360,562,529,20.2,0,562,551
1730462548,01.11.2024,12:02:28,20.1,353,562,540,20.2,0,562,562
1730463451,01.11.2024,12:17:31,20.2,353,562,572,20.3,0,562,551
1730464354,01.11.2024,12:32:34,20.2,360,562,583,20.3,0,562,551
1730465257,01.11.2024,12:47:37,20.3,353,551,508,20.4,0,551,562
1730466160,01.11.2024,13:02:40,20.2,353,572,551,20.5,0,562,551
1730467064,01.11.2024,13:17:44,20.2,353,562,601,20.5,0,562,540
1730467967,01.11.2024,13:32:47,20.2,353,562,518,20.5,0,562,551
1730468870,01.11.2024,13:47:50,20.2,353,562,540,20.5,0,551,540
1730469773,01.11.2024,14:02:53,20.3,353,562,612,20.5,0,572,562
1730470676,01.11.2024,14:17:56,20.2,353,562,508,20.5,0,540,562
1730471579,01.11.2024,14:32:59,20.2,353,572,623,20.5,0,551,551
1730472482,01.11.2024,14:48:02,20.2,353,562,594,20.5,0,551,551
1730473386,01.11.2024,15:03:06,20.2,353,562,551,20.5,0,551,551
1730474289,01.11.2024,15:18:09,20.3,353,551,601,20.5,0,551,551
1730475192,01.11.2024,15:33:12,20.3,345,562,540,20.6,0,572,572
1730476095,01.11.2024,15:48:15,20.3,345,562,572,20.7,0,529,572
1730476998,01.11.2024,16:03:18,20.3,353,562,518,20.8,0,562,572
1730477901,01.11.2024,16:18:21,20.4,353,551,551,20.9,0,551,562
1730478805,01.11.2024,16:33:25,20.4,353,551,518,20.9,0,562,562
1730479708,01.11.2024,16:48:28,20.4,353,551,529,20.7,0,562,551
1730480611,01.11.2024,17:03:31,20.3,353,551,572,20.7,0,551,562
1730481514,01.11.2024,17:18:34,20.3,353,551,508,20.5,0,551,551
1730482417,01.11.2024,17:33:37,20.2,353,562,551,20.5,0,562,551
1730483320,01.11.2024,17:48:40,20.2,353,562,518,20.4,0,551,551
1730484224,01.11.2024,18:03:44,20.2,353,562,508,20.2,0,562,562
1730485127,01.11.2024,18:18:47,20.1,353,562,540,20.2,0,562,562
1730486030,01.11.2024,18:33:50,20.1,353,562,562,20.2,0,551,551
1730486933,01.11.2024,18:48:53,20.1,353,562,551,20,0,562,562
1730487836,01.11.2024,19:03:56,20,353,551,529,20,0,551,562
1730488740,01.11.2024,19:19:00,19.9,353,562,529,19.9,0,540,551
1730489643,01.11.2024,19:34:03,19.9,353,562,540,19.9,7,540,562
1730490546,01.11.2024,19:49:06,19.9,353,562,529,19.8,0,551,562
1730491449,01.11.2024,20:04:09,19.9,353,551,572,19.9,0,551,540
1730492352,01.11.2024,20:19:12,19.9,345,551,551,19.9,0,562,562
1730493255,01.11.2024,20:34:15,19.9,353,562,551,19.8,0,551,551
1730494159,01.11.2024,20:49:19,19.8,353,562,572,19.7,0,551,540
1730495062,01.11.2024,21:04:22,19.8,353,562,540,19.8,0,540,551
1730495965,01.11.2024,21:19:25,19.8,353,562,572,19.8,0,551,540
1730496868,01.11.2024,21:34:28,19.8,353,562,562,19.8,0,562,551
1730497771,01.11.2024,21:49:31,19.8,345,562,562,19.7,0,551,562
1730498674,01.11.2024,22:04:34,19.9,353,551,601,19.7,0,562,562
1730499578,01.11.2024,22:19:38,19.7,345,551,500,19.7,0,572,562
1730500481,01.11.2024,22:34:41,19.7,345,562,572,19.5,0,562,562
1730501384,01.11.2024,22:49:44,19.6,353,551,562,19.5,0,551,540
1730502287,01.11.2024,23:04:47,19.6,353,562,572,19.4,0,572,562
1730503190,01.11.2024,23:19:50,19.7,353,551,518,19.5,0,562,562
1730504093,01.11.2024,23:34:53,19.7,360,540,583,19.5,0,551,562
1730504997,01.11.2024,23:49:57,19.6,353,562,551,19.5,0,562,562
1730505900,02.11.2024,0:05:00,19.6,353,551,562,19.4,0,551,540
1730506803,02.11.2024,0:20:03,19.7,353,551,594,19.5,0,540,551
1730507706,02.11.2024,0:35:06,19.6,353,551,540,19.5,0,540,562
1730508609,02.11.2024,0:50:09,19.7,353,572,572,19.4,0,540,562
1730509512,02.11.2024,1:05:12,19.6,353,562,551,19.4,0,562,562
1730510415,02.11.2024,1:20:15,19.6,353,562,601,19.5,0,562,551
1730511318,02.11.2024,1:35:18,19.6,360,551,583,19.4,0,551,562
1730512222,02.11.2024,1:50:22,19.6,345,551,551,19.4,0,551,551
1730513125,02.11.2024,2:05:25,19.6,360,551,583,19.5,0,540,540
1730514028,02.11.2024,2:20:28,19.6,353,551,540,19.4,0,562,562
1730514931,02.11.2024,2:35:31,19.6,353,562,562,19.4,0,540,562
1730515834,02.11.2024,2:50:34,19.5,353,562,540,19.4,0,562,572
1730516737,02.11.2024,3:05:37,19.6,353,562,529,19.4,0,551,572
1730517641,02.11.2024,3:20:41,19.5,353,562,583,19.4,0,551,551
1730518544,02.11.2024,3:35:44,19.5,353,551,572,19.4,0,562,562
1730519447,02.11.2024,3:50:47,19.5,353,551,529,19.4,0,551,529
1730520350,02.11.2024,4:05:50,19.5,345,562,572,19.4,0,551,572
1730521253,02.11.2024,4:20:53,19.5,353,551,540,19.4,0,540,572
1730522156,02.11.2024,4:35:56,19.5,353,562,518,19.4,0,551,562
1730523060,02.11.2024,4:51:00,19.5,353,572,540,19.4,0,562,562
1730523963,02.11.2024,5:06:03,19.5,353,551,500,19.4,0,551,490
1730524866,02.11.2024,5:21:06,19.5,353,551,518,19.4,0,562,551
1730525769,02.11.2024,5:36:09,19.5,353,562,529,19.4,0,562,540
1730526672,02.11.2024,5:51:12,19.5,353,562,572,19.3,0,562,551
1730527575,02.11.2024,6:06:15,19.4,353,551,518,19.4,0,572,551
1730528478,02.11.2024,6:21:18,19.5,360,540,540,19.3,0,551,562
1730529381,02.11.2024,6:36:21,19.5,353,551,562,19.3,0,551,562
1730530285,02.11.2024,6:51:25,19.5,353,551,540,19.3,0,551,551
1730531188,02.11.2024,7:06:28,19.4,353,551,562,19.4,0,551,540
1730532091,02.11.2024,7:21:31,19.4,353,551,518,19.3,0,572,540
1730532994,02.11.2024,7:36:34,19.4,360,540,572,19.3,0,551,562
1730533897,02.11.2024,7:51:37,19.4,360,540,562,19.3,0,540,572
1730534800,02.11.2024,8:06:40,19.4,360,562,540,19.2,0,572,562
1730535704,02.11.2024,8:21:44,19.4,360,562,583,19.2,0,551,551
1730536607,02.11.2024,8:36:47,19.3,360,551,562,19.3,0,540,583
1730537510,02.11.2024,8:51:50,19.3,360,551,551,19.2,0,562,551
1730538413,02.11.2024,9:06:53,19.3,360,551,562,19.2,0,562,562
1730539316,02.11.2024,9:21:56,19.3,360,551,551,19.2,0,562,540
1730540219,02.11.2024,9:36:59,19.3,360,551,623,19.3,0,562,562
1730541122,02.11.2024,9:52:02,19.3,360,551,572,19.3,0,551,583
1730542025,02.11.2024,10:07:05,19.3,360,551,551,19.3,0,551,562
1730542929,02.11.2024,10:22:09,19.4,353,562,551,19.3,0,562,562
1730543832,02.11.2024,10:37:12,19.4,360,562,551,19.3,0,562,551
1730544735,02.11.2024,10:52:15,19.4,360,551,529,19.4,0,551,540
1730545638,02.11.2024,11:07:18,19.4,353,551,572,19.4,0,562,551
1730546541,02.11.2024,11:22:21,19.5,353,551,529,19.4,0,551,551
1730547444,02.11.2024,11:37:24,19.5,353,562,540,19.4,0,551,551
1730548348,02.11.2024,11:52:28,19.5,345,572,572,19.4,0,551,551
1730549251,02.11.2024,12:07:31,19.6,345,540,540,19.4,0,551,572
1730550154,02.11.2024,12:22:34,19.6,345,562,529,19.7,0,540,572
1730551057,02.11.2024,12:37:37,19.6,345,540,562,19.8,0,551,551
1730551960,02.11.2024,12:52:40,19.7,345,551,562,19.7,0,551,562
1730552863,02.11.2024,13:07:43,19.8,337,551,562,19.9,0,551,540
1730553766,02.11.2024,13:22:46,19.7,337,551,529,19.9,0,562,540
1730554670,02.11.2024,13:37:50,19.7,337,551,540,19.9,0,551,540
1730555573,02.11.2024,13:52:53,19.8,337,540,572,19.8,0,540,583
1730556476,02.11.2024,14:07:56,19.7,337,551,508,19.8,0,551,551
1730557379,02.11.2024,14:22:59,19.8,337,562,572,19.9,0,540,572
1730558282,02.11.2024,14:38:02,19.8,337,562,529,19.8,0,551,562
1730559185,02.11.2024,14:53:05,19.7,345,562,540,19.9,0,551,551
1730560089,02.11.2024,15:08:09,19.7,345,551,572,19.9,0,540,551
1730560992,02.11.2024,15:23:12,19.7,345,551,551,19.9,0,562,529
1730561895,02.11.2024,15:38:15,19.8,345,540,518,20,0,551,540
1730562798,02.11.2024,15:53:18,19.7,345,562,551,19.9,0,551,540
1730563701,02.11.2024,16:08:21,19.7,345,562,551,19.8,0,572,583
1730564604,02.11.2024,16:23:24,19.7,345,551,562,19.7,0,562,551
1730565507,02.11.2024,16:38:27,19.7,345,551,529,19.7,0,562,562
1730566410,02.11.2024,16:53:30,19.7,345,562,540,19.8,0,551,551
1730567314,02.11.2024,17:08:34,19.7,345,551,583,19.8,0,540,551
1730568217,02.11.2024,17:23:37,19.7,345,540,529,19.6,0,551,551
1730569120,02.11.2024,17:38:40,19.6,345,562,583,19.5,0,572,562
1730570023,02.11.2024,17:53:43,19.6,353,540,572,19.5,0,572,551
1730570926,02.11.2024,18:08:46,19.6,353,540,572,19.5,0,562,562
1730571829,02.11.2024,18:23:49,19.6,345,562,594,19.4,0,540,540
1730572733,02.11.2024,18:38:53,19.5,353,551,508,19.4,0,551,551
1730573636,02.11.2024,18:53:56,19.5,353,540,529,19.4,0,540,551
1730574539,02.11.2024,19:08:59,19.5,353,540,572,19.4,0,551,551
1730575442,02.11.2024,19:24:02,19.5,353,562,551,19.4,7,540,551
1730576345,02.11.2024,19:39:05,19.5,353,562,551,19.4,0,551,551
1730577248,02.11.2024,19:54:08,19.5,353,562,529,19.4,0,562,540
1730578151,02.11.2024,20:09:11,19.5,353,540,529,19.4,0,562,529
1730579055,02.11.2024,20:24:15,19.5,345,551,518,19.4,0,562,562
1730579958,02.11.2024,20:39:18,19.4,353,540,583,19.4,0,551,551
1730580861,02.11.2024,20:54:21,19.5,345,551,518,19.4,0,540,540
1730581764,02.11.2024,21:09:24,19.5,345,551,562,19.4,0,562,562
1730582667,02.11.2024,21:24:27,19.5,345,551,572,19.4,7,551,572
1730583570,02.11.2024,21:39:30,19.4,353,562,551,19.4,0,551,551
1730584474,02.11.2024,21:54:34,19.4,345,551,508,19.4,0,551,572
1730585377,02.11.2024,22:09:37,19.4,345,551,562,19.5,0,562,551
1730586280,02.11.2024,22:24:40,19.4,345,562,572,19.5,0,551,562
1730587183,02.11.2024,22:39:43,19.3,345,562,529,19.4,0,540,551
1730588086,02.11.2024,22:54:46,19.4,345,551,540,19.4,0,540,551
1730588989,02.11.2024,23:09:49,19.4,345,551,540,19.4,0,583,562
1730589892,02.11.2024,23:24:52,19.4,345,562,518,19.3,0,551,551
1730590795,02.11.2024,23:39:55,19.4,345,551,529,19.4,0,551,562
1730591699,02.11.2024,23:54:59,19.4,337,551,551,19.3,0,551,562
1730592602,03.11.2024,0:10:02,19.4,345,540,572,19.3,0,551,551
1730593505,03.11.2024,0:25:05,19.4,345,562,529,19.3,0,572,540
1730594408,03.11.2024,0:40:08,19.3,337,551,601,19.2,0,562,562
1730595311,03.11.2024,0:55:11,19.4,345,551,562,19.3,0,572,540
1730596214,03.11.2024,1:10:14,19.3,345,551,551,19.3,0,562,529
1730597118,03.11.2024,1:25:18,19.3,337,551,540,19.3,0,562,583
1730598021,03.11.2024,1:40:21,19.3,345,562,572,19.2,0,540,551
1730598924,03.11.2024,1:55:24,19.3,337,551,562,19.2,0,540,551
1730599827,03.11.2024,2:10:27,19.3,337,551,594,19.2,0,551,551
1730600730,03.11.2024,2:25:30,19.3,345,562,540,19.2,0,562,529
1730601634,03.11.2024,2:40:34,19.3,345,551,551,19.3,0,562,540
1730602537,03.11.2024,2:55:37,19.2,345,551,562,19.2,0,562,562
1730603440,03.11.2024,3:10:40,19.2,345,562,594,19.2,0,562,551
1730604343,03.11.2024,3:25:43,19.2,337,562,490,19.1,0,540,540
1730605246,03.11.2024,3:40:46,19.2,337,562,518,19.2,0,551,551
1730606149,03.11.2024,3:55:49,19.2,337,562,594,19.2,0,540,551
1730607053,03.11.2024,4:10:53,19.2,345,551,583,19.2,0,562,572
1730607956,03.11.2024,4:25:56,19.2,345,562,540,19.2,0,562,551
1730608859,03.11.2024,4:40:59,19.2,337,562,572,19.2,0,572,562
1730609762,03.11.2024,4:56:02,19.2,345,562,594,19.2,0,562,540
1730610665,03.11.2024,5:11:05,19.2,337,551,551,19.2,0,551,551
1730611568,03.11.2024,5:26:08,19.2,345,562,518,19.3,0,562,572
1730612471,03.11.2024,5:41:11,19.2,345,562,572,19.2,0,572,572
1730613374,03.11.2024,5:56:14,19.2,345,551,562,19.2,0,540,540
1730614278,03.11.2024,6:11:18,19.2,345,562,562,19.2,0,551,572
1730615181,03.11.2024,6:26:21,19.2,345,562,572,19.2,0,572,551
1730616084,03.11.2024,6:41:24,19.2,345,562,540,19.2,0,551,551
1730616987,03.11.2024,6:56:27,19.2,353,551,583,19.2,0,551,551
1730617890,03.11.2024,7:11:30,19.2,337,551,562,19.2,0,540,540
1730618793,03.11.2024,7:26:33,19.2,345,551,551,19.2,0,551,562
1730619696,03.11.2024,7:41:36,19.2,345,562,529,19.2,0,572,540
1730620599,03.11.2024,7:56:39,19.2,345,562,562,19.1,0,562,551
1730621502,03.11.2024,8:11:42,19.2,345,551,572,19.2,0,551,562
1730622406,03.11.2024,8:26:46,19.2,345,551,551,19.2,0,572,562
1730623309,03.11.2024,8:41:49,19.2,345,551,529,19.1,0,540,551
1730624212,03.11.2024,8:56:52,19.2,345,562,572,19.2,0,562,551
1730625115,03.11.2024,9:11:55,19.2,353,562,623,19.2,0,562,562
1730626018,03.11.2024,9:26:58,19.2,345,562,562,19.1,0,529,562
1730626922,03.11.2024,9:42:02,19.2,345,551,562,19.2,0,540,540
1730627825,03.11.2024,9:57:05,19.2,345,551,551,19.2,0,540,551
1730628728,03.11.2024,10:12:08,19.2,345,551,572,19.2,0,551,551
1730629631,03.11.2024,10:27:11,19.2,345,551,551,19.4,0,540,551
1730630534,03.11.2024,10:42:14,19.2,345,540,562,19.3,0,540,562
1730631437,03.11.2024,10:57:17,19.3,345,551,551,19.3,0,562,551
1730632340,03.11.2024,11:12:20,19.3,353,551,551,19.2,0,572,551
1730633244,03.11.2024,11:27:24,19.3,345,562,562,19.4,0,540,551
1730634147,03.11.2024,11:42:27,19.4,345,562,562,19.4,0,562,572
1730635050,03.11.2024,11:57:30,19.4,345,551,551,19.4,0,551,551
1730635953,03.11.2024,12:12:33,19.4,353,562,572,19.4,0,551,572
1730636856,03.11.2024,12:27:36,19.4,345,551,562,19.7,0,551,562
1730637759,03.11.2024,12:42:39,19.4,345,562,551,19.5,0,551,583
1730638663,03.11.2024,12:57:43,19.5,345,562,594,19.5,0,562,562
1730639566,03.11.2024,13:12:46,19.5,345,551,518,19.8,0,562,551
1730640469,03.11.2024,13:27:49,19.6,345,551,601,19.8,0,551,540
1730641372,03.11.2024,13:42:52,19.6,345,562,540,19.8,0,562,562
1730642275,03.11.2024,13:57:55,19.6,337,562,551,19.9,0,551,562
1730643179,03.11.2024,14:12:59,19.6,345,540,583,19.9,0,551,562
1730644082,03.11.2024,14:28:02,19.6,337,551,540,20,0,551,551
1730644985,03.11.2024,14:43:05,19.6,345,551,551,20.1,0,562,572
1730645888,03.11.2024,14:58:08,19.7,337,551,551,20.3,0,540,583
1730646791,03.11.2024,15:13:11,19.9,337,551,562,20.7,0,551,540
1730647694,03.11.2024,15:28:14,20.2,337,551,583,21,0,551,551
1730648597,03.11.2024,15:43:17,20.6,337,562,572,21.2,0,562,551
1730649500,03.11.2024,15:58:20,20.7,329,562,562,21.2,0,551,562
1730650404,03.11.2024,16:13:24,20.8,329,551,540,21.3,0,562,562
1730651307,03.11.2024,16:28:27,20.8,329,562,562,21.3,0,551,551
1730652210,03.11.2024,16:43:30,20.8,329,562,562,21.3,0,540,540
1730653113,03.11.2024,16:58:33,20.7,337,551,551,21.1,0,551,562
1730654016,03.11.2024,17:13:36,20.5,337,551,540,21,0,551,529
1730654919,03.11.2024,17:28:39,20.2,345,562,562,20.9,0,551,551
1730655823,03.11.2024,17:43:43,20.2,353,562,562,20.9,0,551,572
1730656726,03.11.2024,17:58:46,20,353,562,572,20.8,0,562,551
1730657629,03.11.2024,18:13:49,20,360,551,562,20.6,0,562,562
1730658532,03.11.2024,18:28:52,19.9,368,562,583,20.5,0,551,529
1730659435,03.11.2024,18:43:55,19.9,368,562,508,20.4,0,562,551
1730660338,03.11.2024,18:58:58,19.8,376,551,562,20.4,0,562,551
1730661242,03.11.2024,19:14:02,19.8,376,562,540,20.1,0,551,551
1730662145,03.11.2024,19:29:05,19.7,376,551,583,20,0,551,529
1730663048,03.11.2024,19:44:08,19.7,376,572,540,20,0,562,562
1730663951,03.11.2024,19:59:11,19.5,384,562,562,19.7,0,562,518
1730664854,03.11.2024,20:14:14,19.5,384,562,572,19.7,0,551,551
1730665757,03.11.2024,20:29:17,19.5,392,551,529,19.8,0,562,562
1730666660,03.11.2024,20:44:20,19.4,400,562,518,19.5,0,540,551
1730667564,03.11.2024,20:59:24,19.4,400,562,583,19.5,0,562,562
1730668467,03.11.2024,21:14:27,19.3,400,551,572,19.4,0,551,562
1730669370,03.11.2024,21:29:30,19.3,407,562,572,19.3,0,551,572
1730670273,03.11.2024,21:44:33,19.2,407,551,583,19.2,0,562,562
1730671176,03.11.2024,21:59:36,19.2,407,572,572,19.1,0,551,572
1730672079,03.11.2024,22:14:39,19.2,407,562,572,19.2,0,551,540
1730672983,03.11.2024,22:29:43,19.2,415,551,540,19.1,0,540,562
1730673886,03.11.2024,22:44:46,19.2,415,551,540,19.1,0,551,551
1730674789,03.11.2024,22:59:49,19.2,407,551,529,19.2,0,540,551
1730675692,03.11.2024,23:14:52,19.1,415,551,583,19,0,540,583
1730676595,03.11.2024,23:29:55,19.1,415,551,572,19.1,0,562,540
1730677498,03.11.2024,23:44:58,19.2,415,551,479,19,0,540,572
1730678402,04.11.2024,0:00:02,19.1,423,551,594,19,0,562,551
1730679305,04.11.2024,0:15:05,19.1,431,562,572,18.9,0,551,551
1730680208,04.11.2024,0:30:08,19,431,551,572,18.8,0,562,562
1730681111,04.11.2024,0:45:11,19,439,551,601,19,0,551,551
1730682014,04.11.2024,1:00:14,19,447,562,540,18.8,0,551,540
1730682918,04.11.2024,1:15:18,19,439,551,551,18.9,0,551,551
1730683821,04.11.2024,1:30:21,19,423,551,540,18.9,0,551,551
1730684724,04.11.2024,1:45:24,18.9,415,540,562,18.8,0,551,562
1730685627,04.11.2024,2:00:27,18.9,407,562,529,18.8,0,551,562
1730686530,04.11.2024,2:15:30,18.9,415,551,551,18.9,0,572,551
1730687433,04.11.2024,2:30:33,18.9,400,562,529,18.7,0,562,540
1730688336,04.11.2024,2:45:36,18.9,392,551,594,18.7,0,540,562
1730689239,04.11.2024,3:00:39,19,392,540,529,19.1,0,583,562
1730690143,04.11.2024,3:15:43,18.9,400,551,594,18.7,0,551,551
1730691046,04.11.2024,3:30:46,18.9,400,562,518,18.8,0,551,572
1730691949,04.11.2024,3:45:49,18.9,407,540,562,18.9,0,551,540
1730692852,04.11.2024,4:00:52,18.9,407,562,551,18.8,0,551,529
1730693755,04.11.2024,4:15:55,18.9,407,551,551,18.8,0,562,551
1730694658,04.11.2024,4:30:58,18.8,407,551,572,18.8,0,562,551
1730695561,04.11.2024,4:46:01,18.9,400,551,572,18.7,0,540,540
1730696465,04.11.2024,5:01:05,18.9,400,562,540,18.8,0,551,551
1730697368,04.11.2024,5:16:08,18.8,400,562,562,18.8,0,540,540
1730698271,04.11.2024,5:31:11,18.9,400,572,572,18.8,0,562,551
1730699174,04.11.2024,5:46:14,18.9,400,551,572,18.8,0,551,562
1730700077,04.11.2024,6:01:17,18.9,407,551,551,18.7,0,540,551
1730700980,04.11.2024,6:16:20,18.8,415,551,594,18.8,0,562,562
1730701884,04.11.2024,6:31:24,18.9,415,562,529,18.8,0,572,540
1730702787,04.11.2024,6:46:27,18.9,407,562,562,18.8,0,551,529
1730703690,04.11.2024,7:01:30,18.8,423,562,551,18.7,0,540,529
1730704593,04.11.2024,7:16:33,18.8,431,562,562,18.7,0,572,562
1730705496,04.11.2024,7:31:36,18.8,415,551,583,18.7,0,562,551
1730706399,04.11.2024,7:46:39,18.8,415,562,572,18.7,0,562,562
1730707303,04.11.2024,8:01:43,18.8,423,551,562,18.6,0,562,551
1730708206,04.11.2024,8:16:46,18.8,423,562,562,18.8,0,551,551
1730709109,04.11.2024,8:31:49,18.9,423,551,562,19.4,0,540,562
1730710012,04.11.2024,8:46:52,19.2,415,562,518,19.7,0,572,529
1730710915,04.11.2024,9:01:55,19.2,407,562,562,20,0,562,551
1730711818,04.11.2024,9:16:58,19.8,384,562,529,20.1,0,562,551
1730712721,04.11.2024,9:32:01,20,400,562,572,20.5,0,562,551
1730713625,04.11.2024,9:47:05,20.3,415,540,540,20.7,0,562,540
1730714528,04.11.2024,10:02:08,20.7,431,562,540,21,0,562,551
1730715431,04.11.2024,10:17:11,21,478,562,551,21.4,0,551,562
1730716334,04.11.2024,10:32:14,21.4,407,562,562,21.6,0,562,572
1730717237,04.11.2024,10:47:17,21.6,423,572,706,22,0,562,270
1730718140,04.11.2024,11:02:20,22,407,551,518,22.2,0,551,518
1730719044,04.11.2024,11:17:24,21.8,392,562,551,22.5,0,562,551
1730719947,04.11.2024,11:32:27,22.1,407,562,594,22.7,0,562,562
1730720850,04.11.2024,11:47:30,22.3,470,551,540,23,0,551,562
1730721753,04.11.2024,12:02:33,22.8,470,562,500,23.2,7,540,551
1730722656,04.11.2024,12:17:36,23.1,439,562,572,23.5,0,572,551
1730723559,04.11.2024,12:32:39,23,619,551,518,23.4,0,562,529
1730724462,04.11.2024,12:47:42,23.1,486,562,551,23.6,0,572,529
1730725366,04.11.2024,13:02:46,23.2,455,572,562,23.7,0,551,540
1730726269,04.11.2024,13:17:49,23.2,455,551,562,23.7,0,551,551
1730727172,04.11.2024,13:32:52,23.4,447,562,562,23.7,0,572,540
1730728075,04.11.2024,13:47:55,23.6,447,562,583,24,0,551,572
1730728978,04.11.2024,14:02:58,23.7,470,540,583,24.1,0,551,562
1730729881,04.11.2024,14:18:01,23.7,486,562,540,24.3,0,540,551
1730730784,04.11.2024,14:33:04,23.7,556,562,562,24.3,0,583,551
1730731687,04.11.2024,14:48:07,23.8,509,562,583,24.4,0,551,562
1730732590,04.11.2024,15:03:10,23.8,509,562,518,24.4,0,572,562
1730733494,04.11.2024,15:18:14,23.8,525,562,572,24.4,0,540,540
1730734397,04.11.2024,15:33:17,23.2,509,551,612,23.5,0,540,562
1730735300,04.11.2024,15:48:20,23.2,486,572,540,23.5,0,551,490
1730736203,04.11.2024,16:03:23,23.2,627,562,508,23.4,0,540,551
1730737106,04.11.2024,16:18:26,23.5,674,562,551,23.5,0,551,540
1730738009,04.11.2024,16:33:29,23.6,666,562,529,23.6,0,540,551
1730738912,04.11.2024,16:48:32,23.6,643,572,562,23.6,0,562,551
1730739816,04.11.2024,17:03:36,23.6,611,551,529,23.7,0,540,551
1730740719,04.11.2024,17:18:39,23.4,619,551,583,23.7,0,551,540
1730741622,04.11.2024,17:33:42,23.4,643,540,551,23.6,0,551,540
1730742525,04.11.2024,17:48:45,23.4,635,551,529,23.8,0,583,562
1730743428,04.11.2024,18:03:48,22.8,525,551,562,23.5,0,562,562
1730744331,04.11.2024,18:18:51,22.5,517,551,540,23.3,0,562,551
1730745234,04.11.2024,18:33:54,22.6,541,551,583,23.3,0,562,551
1730746138,04.11.2024,18:48:58,22.5,580,551,518,23.2,0,562,572
1730747041,04.11.2024,19:04:01,22.5,564,562,540,23.1,0,572,562
1730747944,04.11.2024,19:19:04,22.5,556,572,508,23,0,562,562
1730748847,04.11.2024,19:34:07,22.6,549,572,666,22.8,0,562,695
1730749750,04.11.2024,19:49:10,22.2,588,572,540,22.7,0,562,540
1730750653,04.11.2024,20:04:13,21.7,462,562,529,22.5,0,572,529
